County,State
Addison,Vermont
Bennington,Vermont
Caledonia,Vermont
Chittenden,Vermont
Essex,Vermont
Franklin,Vermont
Grand Isle,Vermont
Lamoille,Vermont
Orange,Vermont
Orleans,Vermont
Rutland,Vermont
Washington,Vermont
Windham,Vermont
Windsor,Vermont
Aitkin,Minnesota
Anoka,Minnesota
Becker,Minnesota
Beltrami,Minnesota
Big Stone,Minnesota
Cass,Minnesota
Chippewa,Minnesota
Clearwater,Minnesota
Cook,Minnesota
Cottonwood,Minnesota
Crow Wing,Minnesota
Hubbard,Minnesota
Isanti,Minnesota
Itasca,Minnesota
Jackson,Minnesota
Kanabec,Minnesota
Kandiyohi,Minnesota
Kittson,Minnesota
Koochiching,Minnesota
Lac qui Parle,Minnesota
Lake of the Woods,Minnesota
Lincoln,Minnesota
Lyon,Minnesota
Mahnomen,Minnesota
Marshall,Minnesota
McLeod,Minnesota
Meeker,Minnesota
Mille Lacs,Minnesota
Morrison,Minnesota
Mower,Minnesota
Murray,Minnesota
Nobles,Minnesota
Norman,Minnesota
Otter Tail,Minnesota
Pennington,Minnesota
Pine,Minnesota
Pipestone,Minnesota
Polk,Minnesota
Pope,Minnesota
Red Lake,Minnesota
Redwood,Minnesota
Renville,Minnesota
Roseau,Minnesota
Sherburne,Minnesota
Sibley,Minnesota
Stevens,Minnesota
Swift,Minnesota
Todd,Minnesota
Traverse,Minnesota
Wabasha,Minnesota
Wadena,Minnesota
Wilkin,Minnesota
Yellow Medicine,Minnesota
Beaverhead,Montana
Big Horn,Montana
Blaine,Montana
Carter,Montana
Daniels,Montana
Fallon,Montana
Garfield,Montana
Golden Valley,Montana
McCone,Montana
Petroleum,Montana
Powder River,Montana
Richland,Montana
Roosevelt,Montana
Sheridan,Montana
Treasure,Montana
Clinton,New York
Essex,New York
Franklin,New York
Fulton,New York
Hamilton,New York
Herkimer,New York
Lewis,New York
St. Lawrence,New York
Warren,New York
Coos,Oregon
Curry,Oregon
Harney,Oregon
Malheur,Oregon
Sherman,Oregon
Wallowa,Oregon
Wheeler,Oregon
Buffalo,South Dakota
Dewey,South Dakota
Jackson,South Dakota
Jones,South Dakota
Mellette,South Dakota
Todd,South Dakota
Berkshire,Massachusetts
Franklin,Massachusetts
Hampden,Massachusetts
Hampshire,Massachusetts
Worcester,Massachusetts
Adams,Idaho
Idaho,Idaho
Lewis,Idaho
Washington,Idaho
Adams,Iowa
Fremont,Iowa
Page,Iowa
Ringgold,Iowa
Taylor,Iowa
Wayne,Iowa
Cheyenne,Kansas
Clark,Kansas
Decatur,Kansas
Grant,Kansas
East Carroll,Louisiana
Tensas,Louisiana
West Carroll,Louisiana
Issaquena,Mississippi
Sharkey,Mississippi
Sunflower,Mississippi
Arthur,Nebraska
Blaine,Nebraska
Logan,Nebraska
Hyde,North Carolina
Tyrrell,North Carolina
Columbia,Washington
Garfield,Washington
Forest,Wisconsin
Menominee,Wisconsin
