State,County,Total_Enrolled,UHC_Enrolled,UHC_Share,Comp1_Name,Comp1_Enrolled,Comp1_Share,Comp2_Name,Comp2_Enrolled,Comp2_Share,Comp3_Name,Comp3_Enrolled,Comp3_Share,Comp4_Name,Comp4_Enrolled,Comp4_Share
AK,Anchorage,979,283,28.91,CVS Health (Aetna),497,50.77,Humana,154,15.73,Elevance Health (Anthem),26.0,2.66,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY,19.0,1.94
AK,Fairbanks North Star,244,38,15.57,Humana,147,60.25,CVS Health (Aetna),59,24.18,ALIGNMENT HEALTH PLAN,0.0,0.0,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,0.0,0.0
AK,Juneau,29,12,41.38,Humana,17,58.62,ALIGNMENT HEALTH PLAN,0,0.0,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,0.0,0.0,AULTCARE HEALTH INSURING CORPORATION,0.0,0.0
AK,Kenai Peninsula,490,160,32.65,CVS Health (Aetna),240,48.98,Humana,74,15.1,Elevance Health (Anthem),16.0,3.27,ALIGNMENT HEALTH PLAN,0.0,0.0
AK,Matanuska-Susitna,496,112,22.58,CVS Health (Aetna),249,50.2,Humana,107,21.57,Elevance Health (Anthem),28.0,5.65,ALIGNMENT HEALTH PLAN,0.0,0.0
AL,Autauga,7530,2488,33.04,Humana,1366,18.14,"VIVA HEALTH, INC.",1352,17.95,BLUE CROSS AND BLUE SHIELD OF ALABAMA,1020.0,13.55,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,380.0,5.05
AL,Baldwin,37815,14049,37.15,BLUE CROSS AND BLUE SHIELD OF ALABAMA,7497,19.83,Humana,7334,19.39,Cigna,2978.0,7.88,CVS Health (Aetna),1756.0,4.64
AL,Barbour,4242,1893,44.63,Humana,840,19.8,CVS Health (Aetna),507,11.95,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,502.0,11.83,BLUE CROSS AND BLUE SHIELD OF ALABAMA,375.0,8.84
AL,Bibb,3312,1012,30.56,BLUE CROSS AND BLUE SHIELD OF ALABAMA,673,20.32,Humana,509,15.37,Cigna,507.0,15.31,CVS Health (Aetna),180.0,5.43
AL,Blount,8773,2917,33.25,"VIVA HEALTH, INC.",1741,19.84,BLUE CROSS AND BLUE SHIELD OF ALABAMA,1673,19.07,Humana,719.0,8.2,Cigna,687.0,7.83
AL,Bullock,1669,647,38.77,Humana,263,15.76,"VIVA HEALTH, INC.",239,14.32,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,178.0,10.67,BLUE CROSS AND BLUE SHIELD OF ALABAMA,165.0,9.89
AL,Butler,3277,1321,40.31,BLUE CROSS AND BLUE SHIELD OF ALABAMA,650,19.84,Humana,629,19.19,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,355.0,10.83,CVS Health (Aetna),201.0,6.13
AL,Calhoun,15563,5051,32.46,"VIVA HEALTH, INC.",2896,18.61,BLUE CROSS AND BLUE SHIELD OF ALABAMA,2258,14.51,CVS Health (Aetna),1977.0,12.7,Humana,1977.0,12.7
AL,Chambers,5966,1082,18.14,Humana,2970,49.78,BLUE CROSS AND BLUE SHIELD OF ALABAMA,676,11.33,CVS Health (Aetna),673.0,11.28,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,277.0,4.64
